Expt,Source,TC,Pkb,Titanite,Rutile,SiO2,Al2O3,Na2O,K2O,CaO,FeO,MgO,TiO2
1044A,LEPR,1000,7.5,Y,N,56.55,15.54,3.34,1.56,7.35,5.07,2.41,2.32
1044BA,LEPR,1000,7.5,Y,N,51.82,15.55,1.83,0.9,9.96,7.97,2.95,2.85
1044T,LEPR,1000,7.5,Y,N,60.75,15.21,5.23,4.82,2.65,3.58,0.16,1.73
1045A,LEPR,1000,16,Y,Y,57.55,16.15,3.38,1.58,6.66,4.81,1.95,1.9
1045BA,LEPR,1000,16,Y,N,51.33,15.86,1.88,0.93,9.4,8.01,2.55,2.7
1045T,LEPR,1000,16,Y,N,60.79,15.32,5.28,4.87,2.64,3.37,0.18,1.61
1046A,LEPR,950,7.5,Y,N,58.22,16.55,3.35,1.56,5.96,5.02,1.82,1.45
1046BA,LEPR,950,7.5,Y,N,53.14,17.18,1.82,0.9,8.79,7.94,2.09,1.68
1046T,LEPR,950,7.5,Y,N,61.13,15.52,5.17,4.78,2.26,3.81,0.17,1.31
1056A,LEPR,1000,4,Y,N,57.83,15.6,3.41,1.61,7.83,4.3,2.34,2.17
1056BA,LEPR,1000,4,Y,N,54.42,15.57,1.91,0.95,10.58,5.63,2.98,2.74
1056T,LEPR,1000,4,Y,Y,61.66,15.54,5.16,4.79,2.83,3.15,0.16,1.81
ASI200 ,LEPR,1150,0.001,Y,N,57.88,4.72,12.45,1.03,10.76,0,0,11.84
ASI220 ,LEPR,1150,0.001,Y,N,59.87,9.36,11.94,1.16,8.49,0,0,8.2
ASI240 ,LEPR,1150,0.001,Y,N,61.67,14.62,10.89,1.34,6.05,0,0,4.33
ASI250 ,LEPR,1150,0.001,Y,N,61.99,17.18,9.92,1.38,5.07,0,0,2.97
ASI260 ,LEPR,1150,0.001,Y,N,61.37,19.18,8.87,1.38,5.13,0,0,3.02
ASI280 ,LEPR,1150,0.001,Y,N,57.51,20.52,5.93,1.22,8.6,0,0,4.27
DAC ,LEPR,1150,0.001,Y,N,62.8,16.19,5.09,3.5,8.97,0,0,2
HL220-100,LEPR,1150,0.001,Y,N,59.56,9.18,12.13,1.15,8.9,0,0,8.74
HL220-1500,LEPR,1150,0.001,Y,N,59.71,9.18,12.07,1.18,8.72,0,0,8.59
HL220-15000,LEPR,1150,0.001,Y,N,58.37,8.77,11.45,1.13,8.75,0,0,8.3
HL220-25,LEPR,1150,0.001,Y,N,59.62,9.32,12.01,1.14,8.82,0,0,8.64
HL220-250,LEPR,1150,0.001,Y,N,59.2,8.86,11.99,1.11,9.33,0,0,9.12
HL220-2500,LEPR,1150,0.001,Y,N,59.78,9.1,11.99,1.12,8.81,0,0,8.59
HL220-40000,LEPR,1150,0.001,Y,N,57.22,8.68,11.4,1.05,8.54,0,0,7.64
HL220-50,LEPR,1150,0.001,Y,N,59.31,9,12.16,1.14,8.97,0,0,8.86
HL220-5000,LEPR,1150,0.001,Y,N,59.64,9.36,11.91,1.11,8.59,0,0,8.08
HL220-60000,LEPR,1150,0.001,Y,N,55.51,7.3,10.13,1.03,9.38,0,0,7.11
HL220-75000,LEPR,1150,0.001,Y,N,54.98,7.98,10.73,0.98,8.94,0,0,7.21
HL220-without,LEPR,1150,0.001,Y,N,59.82,9.41,11.98,1.14,8.62,0,0,8.47
HL22REE-200,LEPR,1150,0.001,Y,N,59.88,9.28,11.84,0,8.67,0,0,8.48
HL22REE-2000,LEPR,1150,0.001,Y,N,58.66,8.87,11.74,0,8.63,0,0,8.14
HL22REE-8000,LEPR,1150,0.001,Y,N,54.32,8.26,11.14,0,8.59,0,0,7.5
HL240-100,LEPR,1150,0.001,Y,N,62.55,15.75,10.65,1.48,5.69,0,0,3.88
HL240-2000,LEPR,1150,0.001,Y,N,63.21,15.71,10.38,1.38,5.49,0,0,3.55
HL240-20000,LEPR,1150,0.001,Y,N,61.57,14.71,10.75,1.42,6.38,0,0,3.96
HL240-250,LEPR,1150,0.001,Y,N,62.7,15.5,10.55,1.48,5.76,0,0,3.94
HL240-45000,LEPR,1150,0.001,Y,N,59.86,13.26,9.41,1.13,7.63,0,0,4.16
HL240-500,LEPR,1150,0.001,Y,N,63.43,15.83,10.33,1.38,5.43,0,0,3.45
